id,first_name,last_name,location,fav_color,department
2,Aldridge,Donisi,China,Goldenrod,Accounting
10,Darda,O'Lahy,Nepal,Blue,Accounting
13,Maud,Suggitt,Philippines,Khaki,Accounting
19,Diarmid,O'Donovan,Bolivia,Fuscia,Accounting
24,Kerr,Ambrozewicz,Peru,Fuscia,Accounting
52,Clayson,Bavidge,China,Maroon,Accounting
53,Eulalie,Fairlie,China,Turquoise,Accounting
58,Jeni,Roust,Russia,Puce,Accounting
59,Tracie,Lomond,Czech Republic,Aquamarine,Accounting
66,Nat,Coade,China,Goldenrod,Accounting
99,Benni,Merrisson,Mongolia,Crimson,Accounting
110,Hildy,Izhak,China,Crimson,Accounting
114,Florinda,Rattenbury,Estonia,Aquamarine,Accounting
125,Mychal,Babber,Poland,Indigo,Accounting
130,Karylin,Tithecott,Russia,Goldenrod,Accounting
134,Natal,Ormerod,Indonesia,Crimson,Accounting
157,Ana,Clempton,Philippines,Orange,Accounting
161,Granthem,MacCague,China,Red,Accounting
162,Anabella,Postle,Sri Lanka,Teal,Accounting
165,Torre,Ewart,Philippines,Fuscia,Accounting
170,Ronny,Skipton,Portugal,Puce,Accounting
181,Ulrick,Rollinshaw,China,Turquoise,Accounting
185,Leicester,Mccaull,Ukraine,Crimson,Accounting
214,Natalee,Bristoe,Greece,Pink,Accounting
222,Shea,Zoellner,Ethiopia,Crimson,Accounting
254,Rubin,Broadhurst,Brazil,Green,Accounting
256,Tatum,Bruneau,China,Green,Accounting
265,Kris,Duesbury,Bolivia,Blue,Accounting
272,Abbe,Carryer,Indonesia,Fuscia,Accounting
299,Mario,Gossage,Canada,Blue,Accounting
302,Clywd,Cissen,Indonesia,Pink,Accounting
310,Maire,Decent,Tanzania,Pink,Accounting
313,Torey,Gauden,Tanzania,Turquoise,Accounting
316,Stephana,Ralls,Philippines,Maroon,Accounting
322,Zsa zsa,Frotton,Vietnam,Aquamarine,Accounting
323,Torre,Gammack,China,Khaki,Accounting
328,Rubi,Benning,China,Blue,Accounting
335,Isac,Beels,Indonesia,Puce,Accounting
347,Jenny,Dalyiel,Peru,Blue,Accounting
354,Antons,Pinkney,Ireland,Maroon,Accounting
367,Elissa,Longhorne,Indonesia,Yellow,Accounting
372,Erin,Babb,Indonesia,Turquoise,Accounting
379,Dalton,Hayer,China,Turquoise,Accounting
387,Gunter,Clinning,Philippines,Purple,Accounting
389,Samuele,Stevenson,China,Indigo,Accounting
390,Alysia,Lorenz,Finland,Maroon,Accounting
395,Eben,Kilius,China,Khaki,Accounting
453,Dorothee,Pieter,Spain,Blue,Accounting
458,Worthington,Marcroft,Russia,Khaki,Accounting
479,Jerad,Cersey,Philippines,Pink,Accounting
482,Matelda,Godbolt,Philippines,Goldenrod,Accounting
505,Della,MacAfee,Bosnia and Herzegovina,Teal,Accounting
525,Cortney,Valentino,Czech Republic,Crimson,Accounting
555,Susie,Hughill,Ukraine,Purple,Accounting
557,Felicdad,Berends,China,Blue,Accounting
570,Cicily,Harrell,Brazil,Indigo,Accounting
579,Norma,Durdy,Philippines,Pink,Accounting
585,Guenna,Gaenor,China,Violet,Accounting
605,Michaela,Abberley,United States,Violet,Accounting
609,Stavros,Halward,Indonesia,Fuscia,Accounting
616,Steven,Ruberti,Sweden,Blue,Accounting
621,Mollee,Ginnane,China,Khaki,Accounting
644,Bayard,Morford,Togo,Red,Accounting
648,Ethelda,Botcherby,China,Goldenrod,Accounting
658,Wally,MacSkeaghan,Indonesia,Aquamarine,Accounting
662,Val,Kilbane,Kenya,Maroon,Accounting
707,Steve,Delamar,Portugal,Indigo,Accounting
712,Niles,Croucher,Portugal,Fuscia,Accounting
713,Jackie,Bedder,France,Aquamarine,Accounting
732,Jens,Dobell,Indonesia,Blue,Accounting
746,Cathe,Lambird,China,Mauv,Accounting
757,Stephi,Stollard,Peru,Green,Accounting
760,Raimondo,Carleton,Peru,Green,Accounting
762,Celestyna,Kettell,Ivory Coast,Turquoise,Accounting
763,Missie,Sprigin,Russia,Puce,Accounting
772,Suki,Jiruch,China,Aquamarine,Accounting
775,Bria,Orbon,Slovenia,Purple,Accounting
777,Dalenna,O'Fearguise,Argentina,Orange,Accounting
805,Alisander,Elvins,Czech Republic,Puce,Accounting
811,Wernher,Rainsdon,Russia,Fuscia,Accounting
815,Tann,Iacomi,Ukraine,Crimson,Accounting
819,Ira,Limer,Colombia,Turquoise,Accounting
858,Dav,Matyushonok,Norway,Maroon,Accounting
876,Cordy,Drinkhill,China,Blue,Accounting
885,Pennie,Worters,Poland,Maroon,Accounting
887,Stillmann,Holde,China,Red,Accounting
892,Toby,Nieass,Malta,Teal,Accounting
898,Robinett,Van Velden,Guatemala,Violet,Accounting
903,Sharia,Spaduzza,Indonesia,Turquoise,Accounting
910,Jared,Temperton,China,Purple,Accounting
912,Barny,Mouat,Nepal,Yellow,Accounting
918,Justine,Gunther,Lebanon,Violet,Accounting
931,Westley,Vogt,Palestinian Territory,Orange,Accounting
932,Jenn,Patel,Czech Republic,Pink,Accounting
933,Brigida,Cheesman,Russia,Crimson,Accounting
936,Carlynn,Abbate,Libya,Blue,Accounting
947,Talbot,Bilson,Brazil,Fuscia,Accounting
949,Norrie,Scupham,China,Fuscia,Accounting
968,Nevile,Scragg,Zambia,Khaki,Accounting
986,Faun,Uttley,China,Yellow,Accounting
