id,first_name,last_name,location,fav_color,department
5,Jillane,McCraine,Indonesia,Khaki,Engineering
15,Dorthea,Kleinplac,Nigeria,Pink,Engineering
18,Evanne,Sallis,China,Purple,Engineering
21,Candice,Jollie,Sweden,Violet,Engineering
48,Karry,Delnevo,China,Puce,Engineering
64,Britte,Dewick,Philippines,Turquoise,Engineering
80,Rollo,Kelwick,Poland,Teal,Engineering
85,Beverlie,Marrable,China,Puce,Engineering
87,Batsheva,Huckfield,Japan,Pink,Engineering
119,Lowrance,Kearley,China,Fuscia,Engineering
121,Justen,Yashnov,Indonesia,Goldenrod,Engineering
146,Karolina,Arthur,Portugal,Teal,Engineering
166,Dalenna,Steart,Indonesia,Goldenrod,Engineering
179,Chrissy,Lamborne,Lithuania,Pink,Engineering
182,Carissa,Daffey,Pakistan,Orange,Engineering
187,Malchy,Immins,Syria,Mauv,Engineering
196,Deb,Filpi,Portugal,Blue,Engineering
205,Georgiana,Montrose,France,Violet,Engineering
233,Jan,Haslock(e),China,Green,Engineering
242,Rolph,Gutridge,Indonesia,Blue,Engineering
251,Suzanne,Werendell,China,Violet,Engineering
262,Filberte,Dallow,Croatia,Pink,Engineering
270,Ines,Rossant,Mexico,Orange,Engineering
280,Reese,Gascoyne,China,Green,Engineering
290,Sandye,Harman,Portugal,Yellow,Engineering
291,Alec,Clerc,Brazil,Pink,Engineering
305,Abrahan,Reffe,Sweden,Pink,Engineering
308,Christophe,Fray,Uzbekistan,Khaki,Engineering
338,Pearl,Houlison,China,Fuscia,Engineering
344,Elsie,Courtin,China,Aquamarine,Engineering
350,Fiann,Pren,French Polynesia,Yellow,Engineering
363,Rica,Kleisle,Peru,Orange,Engineering
365,Ardine,Chason,Brazil,Aquamarine,Engineering
380,Blakeley,Vequaud,Luxembourg,Aquamarine,Engineering
396,Kelvin,Farman,Greece,Violet,Engineering
400,Agnesse,Stampfer,Indonesia,Fuscia,Engineering
428,Leigh,Jefferson,Colombia,Crimson,Engineering
465,Peria,Habbijam,Vietnam,Yellow,Engineering
468,Dory,Dibnah,Ivory Coast,Green,Engineering
484,Guenevere,Ewles,Indonesia,Pink,Engineering
501,Bibby,Plewman,Portugal,Puce,Engineering
504,Lucina,Rizzelli,Bulgaria,Pink,Engineering
508,Gaven,Douch,Sweden,Pink,Engineering
514,Brynne,Tyndall,Philippines,Puce,Engineering
516,Bartram,Bedlington,Poland,Violet,Engineering
536,Shawna,Benedict,Indonesia,Aquamarine,Engineering
538,Reinhard,Moreton,Venezuela,Red,Engineering
542,Brockie,Pritchard,Russia,Goldenrod,Engineering
545,Pepillo,Huebner,Brazil,Indigo,Engineering
553,Karlee,Pickover,Cameroon,Violet,Engineering
568,Byrann,Kilban,North Korea,Red,Engineering
571,Noah,Bradly,Japan,Aquamarine,Engineering
581,Leonidas,Senogles,Indonesia,Red,Engineering
584,Marris,Franzonetti,China,Mauv,Engineering
588,Brendan,Ricarde,France,Pink,Engineering
604,Mattie,McFeat,China,Turquoise,Engineering
606,Kore,Pollastro,China,Goldenrod,Engineering
608,Kizzie,Mechic,Gambia,Green,Engineering
630,Romy,Shuxsmith,Indonesia,Indigo,Engineering
649,Gregorio,Tenney,Luxembourg,Blue,Engineering
654,Erich,Eykelbosch,Canada,Puce,Engineering
657,Jasper,Golborn,Portugal,Red,Engineering
664,Bo,Jurgenson,Japan,Puce,Engineering
716,Denny,Stucke,Malaysia,Maroon,Engineering
728,Hillard,Tern,China,Khaki,Engineering
729,Bili,Simyson,Japan,Crimson,Engineering
738,Ellen,Melrose,Syria,Teal,Engineering
744,Brenden,Grocutt,China,Yellow,Engineering
764,Raven,Gouley,China,Goldenrod,Engineering
765,Beverlie,Leal,Poland,Teal,Engineering
782,Stacy,Ohanessian,Slovenia,Crimson,Engineering
795,Frazer,Guiton,Russia,Crimson,Engineering
818,Dagny,Nesbit,Uzbekistan,Violet,Engineering
831,Alex,Guisot,Russia,Violet,Engineering
841,Gifford,Khan,China,Blue,Engineering
859,Amitie,Gaudon,China,Puce,Engineering
863,Tracey,Lambis,Canada,Purple,Engineering
866,Fern,Lintall,Philippines,Blue,Engineering
872,Mirabella,Fomichkin,Sweden,Red,Engineering
893,Godfree,Millgate,Poland,Orange,Engineering
913,Henriette,Bundy,Poland,Blue,Engineering
969,Alphard,Scotchmer,China,Orange,Engineering
