id,first_name,last_name,location,fav_color,department
6,Violetta,Giraudo,China,Fuscia,Human Resources
20,Broddie,Guillotin,Mauritania,Indigo,Human Resources
38,Lucas,Scudamore,Poland,Teal,Human Resources
42,Julissa,Vize,Tanzania,Aquamarine,Human Resources
62,Ali,Gypps,Kenya,Khaki,Human Resources
63,Trish,Borell,China,Maroon,Human Resources
75,Judd,Goscar,Serbia,Puce,Human Resources
89,Harlan,Goodfield,Indonesia,Teal,Human Resources
90,Bondon,Aviss,Czech Republic,Turquoise,Human Resources
95,Broderick,Nana,Bangladesh,Aquamarine,Human Resources
111,Hardy,Cambell,Sweden,Turquoise,Human Resources
128,Emiline,Krug,Mexico,Puce,Human Resources
147,Matthiew,Yacobsohn,Philippines,Puce,Human Resources
172,Paquito,Ciccetti,Iran,Red,Human Resources
175,Shaun,Andretti,Sweden,Crimson,Human Resources
188,Rahal,Kynson,China,Mauv,Human Resources
200,Gennie,Singleton,Greece,Maroon,Human Resources
223,Kirbie,Bumfrey,China,Turquoise,Human Resources
224,Beryl,Stallwood,Indonesia,Aquamarine,Human Resources
231,Hunfredo,Hearmon,Malaysia,Yellow,Human Resources
235,Dev,Warn,Slovenia,Red,Human Resources
248,Joly,Coils,Mexico,Puce,Human Resources
261,Sileas,Seeman,Indonesia,Indigo,Human Resources
264,Rhys,Wattisham,Finland,Turquoise,Human Resources
283,Matthus,Bouzek,China,Orange,Human Resources
289,Thaddeus,Parkisson,Portugal,Purple,Human Resources
331,Marius,Merigeau,Philippines,Green,Human Resources
349,Chevalier,Salack,Philippines,Goldenrod,Human Resources
358,Genevieve,Marc,Poland,Mauv,Human Resources
383,Elisa,Earengey,Japan,Pink,Human Resources
405,Yuri,Pauley,Hungary,Green,Human Resources
414,Portie,McGarel,Indonesia,Maroon,Human Resources
457,Cchaddie,Browncey,South Africa,Mauv,Human Resources
462,Lory,Sonnenschein,Colombia,Crimson,Human Resources
473,Aloin,Grastye,Thailand,Pink,Human Resources
475,Josy,Steet,China,Mauv,Human Resources
488,Bernelle,MacScherie,Nigeria,Teal,Human Resources
527,Una,Dane,Poland,Indigo,Human Resources
574,Caryl,Manzell,Croatia,Indigo,Human Resources
582,Buffy,Blackborow,Bolivia,Violet,Human Resources
598,Morganica,Grinnell,China,Goldenrod,Human Resources
611,Ryon,Kennewell,Norway,Blue,Human Resources
614,Cornelius,Mikalski,Indonesia,Green,Human Resources
623,Moore,Ottewill,Colombia,Purple,Human Resources
633,Violette,Abramovic,Kazakhstan,Blue,Human Resources
650,Erminia,Troctor,Nigeria,Khaki,Human Resources
659,Shoshanna,Harler,Poland,Goldenrod,Human Resources
665,Rhys,Ainscow,Nigeria,Maroon,Human Resources
681,Lotty,Guiel,China,Purple,Human Resources
690,Verney,Cassius,Nigeria,Yellow,Human Resources
706,Ailbert,Moffett,Switzerland,Indigo,Human Resources
719,Amalee,Szymaniak,Russia,Green,Human Resources
723,Yvor,Becken,Kazakhstan,Crimson,Human Resources
734,Ezechiel,Akerman,China,Pink,Human Resources
736,Paul,Ewols,United States,Aquamarine,Human Resources
742,Stefanie,Binding,Brazil,Maroon,Human Resources
751,Joshua,Phalip,Malta,Violet,Human Resources
753,Arnaldo,Broyd,Ghana,Aquamarine,Human Resources
758,Lorita,Allom,Macedonia,Fuscia,Human Resources
793,Rice,Gorrissen,Canada,Fuscia,Human Resources
800,Gilburt,Blackhurst,Belarus,Purple,Human Resources
809,Tobe,Bossingham,Sweden,Turquoise,Human Resources
830,Arlin,Bayles,China,Goldenrod,Human Resources
839,Floyd,Sine,Syria,Khaki,Human Resources
845,Gardy,Scottrell,Nigeria,Teal,Human Resources
851,Chantal,Stocken,Sweden,Violet,Human Resources
877,Georgeta,Balazot,France,Purple,Human Resources
878,Shep,Abrashkov,Indonesia,Mauv,Human Resources
890,Cchaddie,Docksey,Russia,Green,Human Resources
895,Hetty,Andrzejowski,France,Turquoise,Human Resources
914,Rori,Staggs,Peru,Khaki,Human Resources
917,Allyn,Fazzioli,China,Red,Human Resources
934,Cherilynn,Colnett,Philippines,Goldenrod,Human Resources
945,Mace,Thatcham,Macedonia,Goldenrod,Human Resources
957,Kalle,Yurlov,China,Crimson,Human Resources
961,Nikki,Richardeau,Uruguay,Khaki,Human Resources
988,Retha,Lentsch,Peru,Blue,Human Resources
989,Dion,Whawell,Equatorial Guinea,Purple,Human Resources
993,Jerrie,Peto,Afghanistan,Green,Human Resources
