id,first_name,last_name,location,fav_color,department
16,Denis,Fellon,Indonesia,Orange,Legal
25,Glyn,Ebbutt,China,Turquoise,Legal
30,Clarance,Skala,China,Crimson,Legal
37,Crichton,Ervine,Czech Republic,Fuscia,Legal
74,Dulce,Franklin,Palestinian Territory,Khaki,Legal
77,Anders,Turbill,China,Teal,Legal
79,Dona,Sygrove,Ukraine,Goldenrod,Legal
83,Eddie,Randerson,China,Fuscia,Legal
106,Dorry,Connikie,France,Puce,Legal
108,Bernadette,Claiton,Indonesia,Mauv,Legal
109,Lorelle,Scrimshaw,Portugal,Puce,Legal
117,Carlee,Erdely,China,Maroon,Legal
120,Alleen,Ebben,China,Violet,Legal
152,Peggie,Neiland,United States,Puce,Legal
177,Clayton,Cescoti,Indonesia,Indigo,Legal
215,Grange,Bunting,Serbia,Aquamarine,Legal
217,Webb,Pepall,Peru,Green,Legal
219,Cornie,Marushak,Finland,Puce,Legal
230,Trista,Matteacci,Netherlands,Indigo,Legal
244,Nolie,Lugard,United States,Aquamarine,Legal
245,Audi,Ungerechts,Bangladesh,Puce,Legal
266,Ceil,Lamberteschi,Indonesia,Indigo,Legal
275,Stevie,Raeburn,Russia,Turquoise,Legal
304,Ethe,Trodler,Philippines,Indigo,Legal
307,Micheil,Cicetti,Argentina,Violet,Legal
311,Gareth,Hubback,Philippines,Indigo,Legal
325,Leelah,Morrison,Armenia,Aquamarine,Legal
330,Torey,Middup,Philippines,Yellow,Legal
341,Etta,Farlane,Brazil,Pink,Legal
351,Verne,Yerrington,South Africa,Turquoise,Legal
355,Chery,Shepcutt,Tunisia,Aquamarine,Legal
364,Matthieu,Creany,Russia,Green,Legal
374,Gilbert,Danielsen,Russia,Goldenrod,Legal
376,Alfi,Bascomb,Morocco,Pink,Legal
381,Kerk,McGauhy,China,Violet,Legal
392,Brenna,Le Borgne,Philippines,Orange,Legal
404,Timmy,Ownsworth,China,Green,Legal
409,Felice,Clement,Indonesia,Teal,Legal
411,Pooh,Liebrecht,Indonesia,Khaki,Legal
441,Cyrill,Summerside,Argentina,Turquoise,Legal
442,Sherwin,Franceschelli,Russia,Pink,Legal
485,Trudy,Woollends,China,Blue,Legal
491,Elise,Tytler,Indonesia,Turquoise,Legal
519,Kenneth,Coyle,Poland,Mauv,Legal
523,Leanna,Trigwell,China,Maroon,Legal
544,Sinclair,Manville,Indonesia,Blue,Legal
572,Bertha,Pim,Sierra Leone,Green,Legal
573,Jermayne,Churchin,Tanzania,Crimson,Legal
577,Christiana,Sodo,China,Khaki,Legal
603,Olive,Yglesia,China,Crimson,Legal
620,Rea,Beachem,Honduras,Purple,Legal
624,Brnaby,Mohamed,China,Teal,Legal
627,Lory,Colly,Bosnia and Herzegovina,Pink,Legal
639,Hattie,Naire,Canada,Violet,Legal
640,Cathrine,Got,Ukraine,Puce,Legal
673,Nicol,Ilyin,Bangladesh,Orange,Legal
691,Mikey,Cargon,Iran,Maroon,Legal
694,Gale,Rumgay,Indonesia,Fuscia,Legal
703,Mikkel,Bissiker,Armenia,Turquoise,Legal
708,Domini,Greener,Poland,Yellow,Legal
720,Constanta,Calltone,Brazil,Pink,Legal
735,Forest,Scrimgeour,Palestinian Territory,Red,Legal
766,Bartholomeo,Nicklen,Japan,Puce,Legal
768,Sara-ann,Attewill,Peru,Fuscia,Legal
785,Theodore,Catterill,Russia,Mauv,Legal
786,Randa,Habberjam,United States,Orange,Legal
806,Lucias,Cottham,Philippines,Violet,Legal
807,Delphinia,Reddoch,Macedonia,Indigo,Legal
816,Armando,Morsey,Portugal,Yellow,Legal
821,Kelcie,Frohock,China,Purple,Legal
822,Sayre,Denisevich,Chile,Goldenrod,Legal
823,Bronnie,Fullerlove,Brazil,Green,Legal
825,Cleopatra,Maillard,China,Red,Legal
835,Rheba,Crossingham,China,Puce,Legal
842,Albertine,Tunbridge,Iran,Blue,Legal
854,Marcus,Dishman,Czech Republic,Khaki,Legal
875,Charmion,Jaffray,Serbia,Khaki,Legal
880,Dion,Starking,Poland,Fuscia,Legal
882,Gigi,Ferrarello,Venezuela,Turquoise,Legal
894,Daisy,Harbage,Panama,Orange,Legal
926,Hazlett,Barritt,China,Orange,Legal
966,Celestyn,Damrel,Tajikistan,Turquoise,Legal
974,Rickard,Wayvill,Indonesia,Red,Legal
985,Valentino,Celiz,China,Orange,Legal
990,Gayelord,Cheshire,Venezuela,Puce,Legal
