id,first_name,last_name,location,fav_color,department
17,Rianon,Burroughes,Philippines,Red,Marketing
34,Brander,Wagge,Ukraine,Khaki,Marketing
43,Miguelita,aManger,United States,Yellow,Marketing
49,Holt,Fulleylove,Brazil,Orange,Marketing
61,Kimmy,Purrier,Poland,Indigo,Marketing
71,Aubrey,Woodrough,Lithuania,Violet,Marketing
72,Kathleen,Beggs,China,Violet,Marketing
81,Bordy,Chillingworth,Uganda,Crimson,Marketing
82,Kathy,Feilden,Czech Republic,Red,Marketing
100,Denny,Cockin,Russia,Fuscia,Marketing
112,Salvador,Dayment,Japan,Fuscia,Marketing
116,Clevie,Webster,Mexico,Crimson,Marketing
129,Pet,Oehme,Indonesia,Turquoise,Marketing
133,Bryana,Barthrop,China,Goldenrod,Marketing
150,Fionna,Gronaller,Indonesia,Puce,Marketing
168,Ernestine,Prosh,Brazil,Orange,Marketing
171,Asher,O'Moylane,Croatia,Teal,Marketing
186,Matthias,Abelovitz,Argentina,Yellow,Marketing
190,Cully,Edmand,China,Puce,Marketing
204,Olwen,Bryer,Senegal,Khaki,Marketing
207,Loni,Acklands,China,Red,Marketing
208,Preston,Kynston,China,Fuscia,Marketing
216,Maury,Foxon,Colombia,Fuscia,Marketing
220,Cornelle,Parfitt,Japan,Red,Marketing
228,Dorey,Pothecary,Indonesia,Crimson,Marketing
236,Roddy,Stitt,Indonesia,Orange,Marketing
237,Lanny,Lantiffe,Poland,Khaki,Marketing
247,Lindsey,Karpenko,Indonesia,Aquamarine,Marketing
255,Mathilda,Teasdale-Markie,Myanmar,Yellow,Marketing
257,Gale,Worrill,Portugal,Violet,Marketing
268,Bobbie,Talby,Costa Rica,Teal,Marketing
274,Clarisse,Serman,Indonesia,Blue,Marketing
284,Ambrosi,Kinvan,Portugal,Blue,Marketing
300,Abby,Looby,China,Yellow,Marketing
317,Angel,Lochead,Azerbaijan,Orange,Marketing
327,Felicdad,Hilley,Indonesia,Khaki,Marketing
332,Waldo,Stone Fewings,Syria,Red,Marketing
334,Whitney,Roggero,China,Blue,Marketing
340,Amelie,Frost,Russia,Indigo,Marketing
345,Merrie,Tredinnick,Indonesia,Crimson,Marketing
353,Gertruda,Daton,Mongolia,Goldenrod,Marketing
356,Blondell,Vinnicombe,Ukraine,Purple,Marketing
360,Tobit,Mattack,Greece,Mauv,Marketing
361,Saree,Von Hindenburg,Poland,Maroon,Marketing
370,Adi,Orae,China,Yellow,Marketing
444,Kimball,Midlane,China,Aquamarine,Marketing
463,Harold,Westpfel,Russia,Crimson,Marketing
469,Andrus,Tuffs,Peru,Turquoise,Marketing
496,Jeffie,Gingel,France,Violet,Marketing
498,Heda,Le Moucheux,United States,Blue,Marketing
524,Timothea,Skipper,China,Indigo,Marketing
530,Glynis,Bovaird,Poland,Red,Marketing
533,Reuven,Speak,Malaysia,Red,Marketing
560,Corabel,Slowly,China,Khaki,Marketing
561,Tomi,McQuarter,France,Teal,Marketing
583,Vernen,Parlott,Palestinian Territory,Violet,Marketing
586,Shawn,Greystoke,Dominican Republic,Puce,Marketing
593,Gayle,Godfree,United States,Green,Marketing
615,Mitch,Tomasz,China,Purple,Marketing
626,Brock,Dobbing,Cameroon,Purple,Marketing
636,Dyanna,Secrett,Ukraine,Green,Marketing
637,Valeda,Carpmile,Thailand,Mauv,Marketing
646,Nelia,Somerscales,Indonesia,Blue,Marketing
656,Brittan,Kittiman,Canada,Green,Marketing
671,Norine,De Ruel,China,Green,Marketing
674,Arch,Gault,China,Green,Marketing
682,Will,Seery,Armenia,Goldenrod,Marketing
686,Zolly,Ferenc,Russia,Teal,Marketing
693,Burtie,Scatcher,Estonia,Violet,Marketing
699,Ericka,Franzewitch,Sweden,Fuscia,Marketing
721,Augusto,Gilardengo,China,Teal,Marketing
740,Northrop,Pyner,Russia,Purple,Marketing
747,Stormi,Hughson,Sweden,Purple,Marketing
761,Evangelin,Batstone,South Sudan,Crimson,Marketing
774,Lennie,Villa,France,Orange,Marketing
791,Gerome,Gadault,United States,Yellow,Marketing
801,Barnie,Blacksell,Thailand,Teal,Marketing
802,Corenda,Aasaf,China,Purple,Marketing
817,Clem,Lording,Colombia,Pink,Marketing
820,Amitie,Keppel,Saudi Arabia,Puce,Marketing
849,Ripley,Benezet,Brazil,Aquamarine,Marketing
865,Hubie,Roscam,China,Yellow,Marketing
874,Kerri,Copcott,Indonesia,Aquamarine,Marketing
884,Veda,Tweddell,Peru,Orange,Marketing
891,Titus,Kropp,Sweden,Yellow,Marketing
906,Gabriel,Boulstridge,Ukraine,Blue,Marketing
908,Marnia,Petroulis,Brazil,Maroon,Marketing
924,Kipper,Adicot,Japan,Blue,Marketing
935,Jennee,Lempke,Brazil,Orange,Marketing
937,Drake,Coast,Palestinian Territory,Turquoise,Marketing
942,Trina,Luto,Ghana,Yellow,Marketing
946,Callie,Cross,Brazil,Mauv,Marketing
948,Boote,Sonier,China,Indigo,Marketing
951,Ketti,Shrubsall,United States,Aquamarine,Marketing
960,Vivyanne,Alekseev,Moldova,Goldenrod,Marketing
965,Yankee,Floris,Philippines,Purple,Marketing
973,Lucas,Bennie,Mexico,Turquoise,Marketing
1000,Wally,McNeigh,Poland,Puce,Marketing
