id,first_name,last_name,location,fav_color,department
51,Zack,Kaasman,Russia,Teal,Product Management
55,Moreen,Cowlin,China,Puce,Product Management
73,Tiphanie,Flaws,Portugal,Mauv,Product Management
97,Elwood,Stapleton,Cameroon,Turquoise,Product Management
113,Holly-anne,Teliga,China,Mauv,Product Management
122,Sayres,Brandino,Panama,Aquamarine,Product Management
149,Davide,Merkle,Venezuela,Violet,Product Management
167,Deeanne,Gilberthorpe,Indonesia,Khaki,Product Management
183,Eduardo,Emanuel,United States,Puce,Product Management
184,Craggie,Ickovits,Indonesia,Teal,Product Management
191,Charmian,Seal,China,Mauv,Product Management
198,Charo,Frail,El Salvador,Puce,Product Management
221,Nolie,McClinton,Japan,Green,Product Management
250,Sandro,Burnsyde,Albania,Fuscia,Product Management
258,Dee dee,Wilhelmy,China,Fuscia,Product Management
286,Dena,Drei,China,Purple,Product Management
296,Lamont,Giacoppo,Sweden,Orange,Product Management
297,Sue,Bende,Indonesia,Puce,Product Management
321,Guillaume,Georgescu,Portugal,Teal,Product Management
329,Ettore,Jillings,China,Green,Product Management
352,Eddy,Tripon,South Africa,Green,Product Management
377,Anjela,Mongeot,Guyana,Turquoise,Product Management
384,Koral,Pithie,Honduras,Yellow,Product Management
399,Pepita,Stanlick,China,Blue,Product Management
416,Jacynth,Saker,Brazil,Violet,Product Management
424,Katlin,Feary,Czech Republic,Crimson,Product Management
427,Gonzalo,Voce,Luxembourg,Maroon,Product Management
430,Dulcine,Girodin,Mexico,Blue,Product Management
434,Bamby,Royden,Indonesia,Mauv,Product Management
435,Carrie,Makey,Bahamas,Aquamarine,Product Management
440,Patric,Gawke,Myanmar,Khaki,Product Management
447,Loren,Ruperto,China,Yellow,Product Management
471,Kimberli,Rodden,Indonesia,Mauv,Product Management
494,Hinze,Bonome,Hungary,Maroon,Product Management
495,Tudor,Lemerie,Philippines,Mauv,Product Management
500,Hinda,Salmons,Japan,Blue,Product Management
502,Tades,Nazareth,Sweden,Yellow,Product Management
503,Kial,Tremonte,Indonesia,Puce,Product Management
512,Loralie,Crabbe,Brazil,Yellow,Product Management
513,Wynny,Roja,Indonesia,Goldenrod,Product Management
547,Ossie,Mindenhall,Peru,Red,Product Management
590,Son,Possa,Liberia,Fuscia,Product Management
592,Doro,Stollwerck,France,Aquamarine,Product Management
597,Terrill,Winstanley,China,Green,Product Management
600,Romain,Kippie,China,Green,Product Management
612,Cortney,Ennever,Indonesia,Purple,Product Management
613,Randi,Khristoforov,China,Blue,Product Management
641,Woodie,Habden,Philippines,Turquoise,Product Management
645,Garrick,Rayer,China,Maroon,Product Management
661,Rollins,Farraway,China,Goldenrod,Product Management
668,Natal,McNalley,Russia,Mauv,Product Management
714,Gisela,Hulks,Japan,Turquoise,Product Management
725,Lil,Sarfatti,Peru,Maroon,Product Management
726,Gabriell,Potebury,China,Crimson,Product Management
739,Dore,Evens,Philippines,Yellow,Product Management
755,Isahella,Whytock,Indonesia,Aquamarine,Product Management
767,Aleksandr,Shapera,South Korea,Turquoise,Product Management
769,Nannie,Steenson,China,Indigo,Product Management
770,Kalindi,Bugs,China,Orange,Product Management
781,Eleonora,Woolf,Serbia,Indigo,Product Management
792,Bryanty,Pulford,Indonesia,Green,Product Management
794,Saundra,MacLice,China,Indigo,Product Management
799,Krisha,Mountjoy,Japan,Purple,Product Management
803,Bevvy,Rizzillo,French Polynesia,Pink,Product Management
810,Thebault,Ruos,Philippines,Khaki,Product Management
812,Merissa,Asker,Poland,Indigo,Product Management
826,Natalie,Lindley,Indonesia,Turquoise,Product Management
837,Julio,Flanagan,United States,Mauv,Product Management
853,Oona,Singh,Kuwait,Red,Product Management
861,Armin,Jankiewicz,Uganda,Turquoise,Product Management
869,Gamaliel,Triplet,France,Puce,Product Management
873,Nigel,Baruch,Afghanistan,Yellow,Product Management
881,Tamqrah,Vassar,Philippines,Fuscia,Product Management
889,Nola,Espine,Russia,Turquoise,Product Management
927,Jobie,Ropkes,Czech Republic,Yellow,Product Management
939,Madlin,Alster,Pakistan,Pink,Product Management
941,Hilliard,Jenyns,Zambia,Blue,Product Management
943,Chantal,Elcy,Indonesia,Teal,Product Management
944,Even,Camosso,Portugal,Yellow,Product Management
952,Cassandre,Radmer,China,Aquamarine,Product Management
953,Georgianna,Giraldez,Tanzania,Teal,Product Management
977,Annissa,Nussey,China,Red,Product Management
982,Laurice,Gillise,China,Puce,Product Management
