id,first_name,last_name,location,fav_color,department
8,Edyth,Wallage,China,Green,Research and Development
45,Francesca,Cratchley,Portugal,Indigo,Research and Development
54,Reube,Markussen,Peru,Blue,Research and Development
57,Marsh,Gollin,Tanzania,Green,Research and Development
91,Perry,Smales,Indonesia,Aquamarine,Research and Development
92,Terry,Gillum,Brazil,Turquoise,Research and Development
96,Pearline,Kynoch,France,Puce,Research and Development
105,Quintus,Lamming,Peru,Crimson,Research and Development
123,Hettie,Pellew,United States,Teal,Research and Development
132,Elroy,Mifflin,Saudi Arabia,Orange,Research and Development
154,Catie,Karadzas,China,Turquoise,Research and Development
173,Neille,Larter,Indonesia,Violet,Research and Development
176,Hillary,Raulin,Ukraine,Purple,Research and Development
201,Wallis,Kharchinski,Indonesia,Mauv,Research and Development
206,Dame,Walklott,China,Crimson,Research and Development
210,Percy,Tewkesbury,Brazil,Pink,Research and Development
212,Giulia,Yepiskov,Philippines,Teal,Research and Development
226,Trix,Buffery,South Africa,Aquamarine,Research and Development
269,Cindy,McGloughlin,China,Fuscia,Research and Development
273,Laureen,Clint,Tanzania,Yellow,Research and Development
318,Clifford,Josskovitz,Lithuania,Green,Research and Development
378,Artemas,Vescovini,South Africa,Orange,Research and Development
391,Morgun,Larrie,Indonesia,Khaki,Research and Development
407,Ive,Plaxton,Uzbekistan,Crimson,Research and Development
410,Devina,Roots,Iceland,Turquoise,Research and Development
436,Timofei,Lapley,Philippines,Khaki,Research and Development
437,Brooke,Abrahamian,China,Blue,Research and Development
439,Grier,Milkeham,Russia,Crimson,Research and Development
460,Joeann,Siemandl,Indonesia,Khaki,Research and Development
481,Quintus,Guilder,Madagascar,Teal,Research and Development
487,Ally,Tongs,Sweden,Fuscia,Research and Development
490,Maybelle,Tupie,Syria,Yellow,Research and Development
497,Joceline,Mellows,Indonesia,Crimson,Research and Development
531,Ashli,Birk,Poland,Green,Research and Development
535,Kissee,Woolager,Oman,Indigo,Research and Development
539,Jayme,Painswick,Vietnam,Violet,Research and Development
546,Noland,Fogarty,Thailand,Blue,Research and Development
554,Aurora,Denyukin,Ukraine,Orange,Research and Development
569,Foster,Elstone,Hungary,Mauv,Research and Development
575,Jabez,Tremain,Democratic Republic of the Congo,Aquamarine,Research and Development
591,Toddie,Giocannoni,China,Indigo,Research and Development
599,Asa,Bracknall,Croatia,Orange,Research and Development
607,Harbert,Shinn,Indonesia,Red,Research and Development
619,Cordi,Coton,Slovenia,Turquoise,Research and Development
632,Rayner,Cowburn,Indonesia,Violet,Research and Development
670,Tansy,Maybury,China,Indigo,Research and Development
680,Kimmy,Bonas,Kosovo,Indigo,Research and Development
700,Mattie,Cheevers,China,Orange,Research and Development
715,Witty,Honisch,China,Purple,Research and Development
779,Charlean,Grzeszczak,Pakistan,Aquamarine,Research and Development
783,Appolonia,Close,Russia,Orange,Research and Development
787,Burtie,Bolmann,Poland,Khaki,Research and Development
856,Everett,Chumley,Vietnam,Mauv,Research and Development
864,Toby,Corringham,Honduras,Aquamarine,Research and Development
868,Augustus,Nutman,China,Violet,Research and Development
888,Yehudi,Whitmarsh,United States,Mauv,Research and Development
916,Hedvig,Britian,Philippines,Green,Research and Development
930,Jonathon,Queyeiro,Philippines,Yellow,Research and Development
940,Gnni,Yarrington,Cambodia,Orange,Research and Development
955,Ganny,De la Harpe,Kenya,Mauv,Research and Development
964,Guillaume,Kenzie,Philippines,Pink,Research and Development
987,Travis,Gowar,China,Teal,Research and Development
991,Tedda,Weller,United States,Teal,Research and Development
