id,first_name,last_name,location,fav_color,department
1,Nessy,Friar,Peru,Puce,Sales
27,Harcourt,Verdun,China,Fuscia,Sales
36,Wit,Prozescky,Sweden,Teal,Sales
69,Nelli,Moger,Mexico,Orange,Sales
76,Vevay,Dashkov,Poland,Crimson,Sales
94,Nichole,Collum,France,Yellow,Sales
103,Gunner,Empringham,Morocco,Goldenrod,Sales
126,Carlotta,Lavelle,Ethiopia,Turquoise,Sales
164,Nora,Bonny,Indonesia,Blue,Sales
194,Sal,Sainteau,China,Violet,Sales
197,Cristobal,Cancutt,Costa Rica,Orange,Sales
202,Pete,Yegorov,China,Yellow,Sales
211,Sib,Elijahu,China,Green,Sales
232,Anastasia,Grissett,Cuba,Turquoise,Sales
277,Beatrisa,Gleder,Palestinian Territory,Khaki,Sales
309,Karole,Mabbett,Portugal,Green,Sales
312,Cynthy,Balstone,China,Blue,Sales
315,Issie,Hammell,Ukraine,Purple,Sales
324,Rodina,Fitkin,Iran,Crimson,Sales
342,Cristy,Tilt,U.S. Virgin Islands,Red,Sales
366,Karrah,Lowseley,China,Aquamarine,Sales
386,Mirilla,Greenin,China,Puce,Sales
388,Rene,Pudsey,Syria,Fuscia,Sales
397,Emmey,McCrie,Russia,Pink,Sales
418,Jaclin,Hallibone,Russia,Blue,Sales
419,Pascale,Stanley,Sweden,Violet,Sales
431,Hilda,Nanninini,China,Indigo,Sales
432,Jammal,Stollsteimer,France,Purple,Sales
448,Irving,Halliwell,Indonesia,Yellow,Sales
455,Duky,Kenewel,Poland,Puce,Sales
459,Lenka,Elgy,Chile,Blue,Sales
461,Tina,Rigolle,Colombia,Fuscia,Sales
472,Kennie,Defrain,Greece,Aquamarine,Sales
478,Keefer,Bockler,South Africa,Fuscia,Sales
489,Tomasine,Brumen,China,Indigo,Sales
493,Vernon,Buckhurst,Tunisia,Turquoise,Sales
509,Bendite,Milhench,China,Aquamarine,Sales
517,Merrill,Syred,Morocco,Indigo,Sales
520,Kiel,Blew,China,Orange,Sales
548,Ardelis,McManamen,Indonesia,Purple,Sales
559,Cirilo,Piner,France,Puce,Sales
562,Henriette,Souza,Peru,Turquoise,Sales
563,Heindrick,Ceschi,Czech Republic,Goldenrod,Sales
567,Thomasine,Rickardes,Libya,Teal,Sales
578,Libbey,Latty,Indonesia,Puce,Sales
595,Darby,Francie,China,Maroon,Sales
602,Rollo,Bewlay,China,Puce,Sales
618,Christal,Beville,Belarus,Aquamarine,Sales
622,Dolly,Heningam,China,Pink,Sales
634,Jolyn,Blakiston,Morocco,Indigo,Sales
642,Callean,Bolzmann,Brazil,Khaki,Sales
685,Brod,Delany,Russia,Aquamarine,Sales
688,Wynn,Rudiger,U.S. Virgin Islands,Mauv,Sales
689,Nickolas,Harlowe,Norway,Khaki,Sales
696,Erny,Cowtherd,Sweden,Teal,Sales
709,Marga,Burvill,Yemen,Turquoise,Sales
724,Lindy,Sholl,Brazil,Violet,Sales
771,Shoshanna,Ranscomb,Argentina,Turquoise,Sales
780,Cordie,Furmonger,Egypt,Orange,Sales
788,Gert,Lattie,Bulgaria,Khaki,Sales
789,Maximilien,Domenge,China,Mauv,Sales
790,Rodd,Gheerhaert,Mexico,Khaki,Sales
796,Hobart,Shoebotham,China,Violet,Sales
827,Jazmin,Andryushchenko,Argentina,Red,Sales
834,Roseline,Zuanelli,Ukraine,Goldenrod,Sales
846,Terri,Cashford,Brazil,Crimson,Sales
847,Rania,Oldall,Serbia,Fuscia,Sales
850,Glyn,Amis,Czech Republic,Mauv,Sales
852,Ofella,Bastick,Brazil,Violet,Sales
870,Graham,Kermit,Poland,Fuscia,Sales
897,Amye,Pester,Philippines,Purple,Sales
900,Zackariah,McKnish,United States,Teal,Sales
909,Janot,Petchell,Norway,Maroon,Sales
928,Fonz,MacKeig,Sweden,Aquamarine,Sales
950,Oren,Ilsley,China,Pink,Sales
959,Kriste,Vasyukhnov,Yemen,Goldenrod,Sales
980,Candida,Jarrad,Indonesia,Orange,Sales
984,John,Belchamber,Mexico,Pink,Sales
995,Harv,McDonald,Bulgaria,Yellow,Sales
