id,first_name,last_name,location,fav_color,department
4,Catharina,Sisson,China,Indigo,Services
14,Brewer,Benneyworth,Indonesia,Indigo,Services
26,Zia,Lumpkin,France,Violet,Services
31,Jeremias,Fulep,Poland,Puce,Services
35,Morrie,Parade,United States,Teal,Services
41,Annelise,Meryett,China,Turquoise,Services
67,Arnie,Machen,Poland,Khaki,Services
98,Obediah,Barlee,Philippines,Purple,Services
115,Harli,Dooland,China,Violet,Services
118,Penelope,Yakovitch,China,Pink,Services
142,Costa,Zorzetti,China,Blue,Services
143,Lorraine,Bosse,Sweden,Mauv,Services
148,Aland,Gatecliffe,Madagascar,Yellow,Services
151,Savina,MacAughtrie,Indonesia,Turquoise,Services
199,Margette,Caseri,China,Yellow,Services
203,Addie,Rockliffe,Indonesia,Violet,Services
218,Lark,Gowland,Antigua and Barbuda,Purple,Services
227,Robinette,Standley,China,Fuscia,Services
229,Tybalt,Jozwiak,China,Violet,Services
240,Cassius,Skeffington,Philippines,Goldenrod,Services
259,Winfred,Pavic,Brazil,Aquamarine,Services
260,Francesca,Blant,Croatia,Goldenrod,Services
276,Gabriele,Wakley,Philippines,Green,Services
319,Jeniffer,Simpkiss,Philippines,Indigo,Services
320,Cal,Buttwell,France,Teal,Services
326,Milzie,Tilberry,Slovenia,Maroon,Services
333,Audie,Bartoleyn,Peru,Khaki,Services
343,Genny,Felipe,Kazakhstan,Orange,Services
346,Maureene,McKeady,Greece,Orange,Services
357,Hinda,Boddice,Argentina,Red,Services
385,Cam,Jeannard,Iran,Blue,Services
412,Ophelia,Mullett,Egypt,Blue,Services
413,Aldridge,Shufflebotham,South Africa,Mauv,Services
420,Crosby,Chansonnau,Russia,Turquoise,Services
422,Tobit,Van den Hof,China,Maroon,Services
443,Dunstan,Biernat,Indonesia,Fuscia,Services
445,Phylis,Dudman,Bermuda,Pink,Services
456,Salim,Simunek,Indonesia,Puce,Services
464,Malanie,Bugbee,Argentina,Puce,Services
486,Willabella,Sibson,Senegal,Khaki,Services
499,Aksel,Nind,Canada,Pink,Services
515,Prisca,Lohering,Indonesia,Maroon,Services
522,Harley,Stair,Dominican Republic,Indigo,Services
564,Roxane,Menhci,Vietnam,Goldenrod,Services
601,Jillane,Gowry,Mexico,Maroon,Services
629,Lulu,Doncom,Philippines,Indigo,Services
643,Emanuel,Merill,United States,Red,Services
660,Helyn,Danslow,Indonesia,Turquoise,Services
663,Karlan,Dulieu,Russia,Khaki,Services
669,Pete,Bulch,South Korea,Puce,Services
692,Alasdair,Allard,Poland,Aquamarine,Services
704,Darbie,Lindsley,China,Teal,Services
722,Reece,Richfield,Philippines,Green,Services
730,Evey,Ronnay,Ukraine,Crimson,Services
749,Andonis,Frostdicke,Indonesia,Aquamarine,Services
778,Wren,Auty,China,Khaki,Services
824,Dot,Le Fevre,Indonesia,Indigo,Services
832,Quintina,Caton,Russia,Khaki,Services
848,Moira,Blackburne,China,Yellow,Services
855,Amalea,Jeans,Uganda,Mauv,Services
857,Fowler,Filipovic,China,Blue,Services
883,Bili,Hickin,Indonesia,Orange,Services
886,Dusty,Roggers,Poland,Maroon,Services
899,Tabina,Mafham,China,Mauv,Services
902,Kenneth,Royall,China,Violet,Services
905,Clo,Feacham,Ethiopia,Blue,Services
915,Jack,Harlock,Indonesia,Turquoise,Services
921,Kenneth,Barmadier,Poland,Maroon,Services
929,Geoffrey,Gatecliff,Mexico,Pink,Services
938,Freeland,Sisley,France,Yellow,Services
971,Ester,Devorill,Thailand,Khaki,Services
979,Wenda,Wallach,Vietnam,Mauv,Services
983,Sashenka,Lafont,Venezuela,Khaki,Services
996,Frans,Helmke,Peru,Goldenrod,Services
