id,first_name,last_name,location,fav_color,department
7,Deanne,Cazalet,Greece,Mauv,Support
22,Silas,Jewell,China,Crimson,Support
28,Annabella,Booler,Russia,Khaki,Support
39,Ase,Van Dijk,France,Green,Support
60,Elfreda,Baraja,Brazil,Blue,Support
70,Kacie,Melhuish,Samoa,Green,Support
78,Blondelle,Shillum,Sweden,Mauv,Support
84,Krissy,Domenc,China,Pink,Support
86,Guillaume,Desporte,Canada,Aquamarine,Support
124,Pacorro,Prichet,China,Orange,Support
127,Sauveur,De Ferraris,Pakistan,Violet,Support
139,Mira,Falk,Poland,Purple,Support
140,Juli,Shieber,France,Turquoise,Support
141,Rosalynd,Smewings,Indonesia,Turquoise,Support
153,Cristiano,MacColgan,Russia,Orange,Support
159,Erskine,Lars,Portugal,Pink,Support
160,Felizio,Brunel,Canada,Goldenrod,Support
163,Ulysses,Byer,Peru,Green,Support
169,Jane,Petruszka,Russia,Blue,Support
174,Ryan,Covil,China,Yellow,Support
189,Tasia,Sporton,China,Aquamarine,Support
192,Padriac,Cleaver,Greece,Pink,Support
193,Lonna,Jakoviljevic,Indonesia,Puce,Support
209,Wren,Geering,Latvia,Aquamarine,Support
238,Carmine,Girardez,China,Indigo,Support
267,Lon,Britcher,Czech Republic,Teal,Support
279,Loralyn,Shoemark,Turkmenistan,Red,Support
285,Morris,Crenage,Ethiopia,Turquoise,Support
293,Becky,Awton,Philippines,Crimson,Support
294,Wallie,Dunsire,Egypt,Violet,Support
298,Daveta,Laurand,China,Green,Support
336,Fiona,Southey,Indonesia,Crimson,Support
348,Herc,De la Barre,Slovenia,Fuscia,Support
359,Kissiah,Rapson,Russia,Mauv,Support
362,Carmine,Boldra,United States,Goldenrod,Support
368,Olly,Whiteland,United States,Purple,Support
369,Alvera,Simison,Guyana,Fuscia,Support
375,Kissee,Buttrum,Armenia,Indigo,Support
382,Andreana,Wallsworth,Chile,Orange,Support
394,Merrel,Piggrem,Brazil,Indigo,Support
403,Nikoletta,Alker,Indonesia,Pink,Support
408,Xever,Chapier,Indonesia,Khaki,Support
415,Mathias,Landsman,Ecuador,Violet,Support
421,Godard,Von Der Empten,France,Green,Support
425,Maitilde,D'Oyley,Malaysia,Maroon,Support
429,Ginevra,Jurasek,Russia,Aquamarine,Support
438,Shelia,Driscoll,Portugal,Orange,Support
476,Wallache,Omond,Morocco,Green,Support
480,Harrietta,Grundy,Sweden,Khaki,Support
492,Yoko,Argont,Syria,Blue,Support
510,Tades,McNickle,Philippines,Violet,Support
511,Louise,Halmkin,Poland,Teal,Support
532,Marcile,Wickson,China,Goldenrod,Support
543,Raychel,Snoddon,Indonesia,Puce,Support
558,Felike,Durnall,Poland,Khaki,Support
566,Errick,Norewood,China,Indigo,Support
580,Colman,Paulat,Norway,Violet,Support
587,Mallissa,Laird,China,Indigo,Support
594,Gard,Bouette,Portugal,Turquoise,Support
610,Wolfie,Blincow,Nigeria,Red,Support
628,Sherline,Slot,Uganda,Pink,Support
652,Anderson,Mico,Portugal,Crimson,Support
655,Adair,Cumbridge,China,Goldenrod,Support
666,Phyllis,Tidy,Netherlands,Khaki,Support
667,Hebert,Baylay,Mali,Teal,Support
675,Herman,Giacometti,Bangladesh,Maroon,Support
676,Kimmie,Bisacre,Jamaica,Red,Support
677,Gregoor,Spain,Morocco,Fuscia,Support
678,Burch,Mynett,Indonesia,Khaki,Support
687,Maribeth,Readshaw,Russia,Khaki,Support
695,Nikola,De Lisle,China,Orange,Support
697,Fionna,Bunkle,Tunisia,Crimson,Support
710,Sharron,Meyrick,Poland,Crimson,Support
711,Milzie,Barritt,Indonesia,Blue,Support
750,Teodorico,Dulinty,Brazil,Green,Support
756,Jard,Tulloch,Armenia,Purple,Support
808,Gibbie,Leake,China,Pink,Support
829,Gert,Northwood,North Korea,Puce,Support
838,Miguela,Boarleyson,Indonesia,Orange,Support
844,Johnny,Butterfield,Czech Republic,Pink,Support
896,Farica,Bosma,Saint Pierre and Miquelon,Goldenrod,Support
904,Madelina,Gillham,Malaysia,Aquamarine,Support
919,Currie,Mackley,Czech Republic,Purple,Support
920,Winthrop,Knowlson,Norway,Violet,Support
923,Bertha,Massy,South Africa,Khaki,Support
925,Sidney,Cordey,Philippines,Fuscia,Support
958,Drud,Dreghorn,Japan,Fuscia,Support
962,Guss,Earthfield,Portugal,Fuscia,Support
972,Jan,Axelbey,Angola,Maroon,Support
975,Geri,Virr,Colombia,Maroon,Support
997,Jenilee,Bowkley,Indonesia,Yellow,Support
999,Layne,Otley,China,Goldenrod,Support
