id,first_name,last_name,location,fav_color,department
3,Hercule,Mc Comb,Indonesia,Red,Training
9,Alex,McAlarney,France,Aquamarine,Training
11,Keven,Pieche,China,Crimson,Training
12,Lise,Camolli,Philippines,Crimson,Training
29,Selia,Girodias,Indonesia,Teal,Training
32,Sancho,Humpherson,Sweden,Khaki,Training
33,Zabrina,Leeman,Thailand,Indigo,Training
40,Corissa,Bute,Poland,Purple,Training
44,Percy,Ellicombe,China,Red,Training
93,Rivi,Tebbitt,Greece,Fuscia,Training
131,Kacie,Dudleston,China,Fuscia,Training
135,Annetta,Lalley,Poland,Khaki,Training
137,Clotilda,Reynalds,Indonesia,Turquoise,Training
138,Lydie,Eustace,Poland,Turquoise,Training
180,Carolee,Sproule,Croatia,Blue,Training
195,Othilia,Jelly,Netherlands,Green,Training
213,Otho,Dwine,Indonesia,Mauv,Training
234,Ernesto,Beefon,Cuba,Orange,Training
239,Catriona,Ceaser,Indonesia,Blue,Training
246,Kari,Barrott,Poland,Khaki,Training
252,Dan,Morgan,China,Teal,Training
282,Paten,Bamlett,Indonesia,Khaki,Training
287,Gradey,Coughlin,China,Violet,Training
288,Wright,Housby,Brazil,Purple,Training
292,Aurore,Cordero,Brazil,Blue,Training
295,Gert,Hearley,France,Teal,Training
303,Lisha,Cuffin,Indonesia,Turquoise,Training
314,Vernen,Rapsey,Indonesia,Yellow,Training
339,Raynell,Maciocia,Indonesia,Mauv,Training
373,Clarke,Audsley,Russia,Khaki,Training
401,Caresse,Chaffin,China,Yellow,Training
417,Rey,Rozec,Russia,Maroon,Training
423,Lammond,Toffoloni,China,Purple,Training
426,Katey,Benditt,Vietnam,Mauv,Training
433,Elle,Lumley,China,Crimson,Training
451,Saw,Pretley,France,Aquamarine,Training
454,Shoshanna,Pilbury,Russia,Crimson,Training
470,Jolee,Matyatin,Brazil,Violet,Training
506,Ebenezer,Ellacott,Moldova,Purple,Training
507,Ferrel,Sanson,Belarus,Teal,Training
518,Ginger,Greatbach,Philippines,Pink,Training
521,Olympe,Cobby,Sweden,Pink,Training
528,Reine,Guppey,Philippines,Mauv,Training
529,Bradan,Leindecker,Libya,Red,Training
537,Alexandre,Anker,Canada,Yellow,Training
540,Gwennie,Shervington,China,Teal,Training
550,Noell,Looker,China,Indigo,Training
551,Brantley,Goldthorp,North Korea,Red,Training
576,Jayme,Bandy,Uzbekistan,Red,Training
596,Brice,McGrath,China,Puce,Training
617,Trevar,Spanton,Ukraine,Puce,Training
625,Alden,Sowthcote,Thailand,Teal,Training
653,Willdon,Giriardelli,Iran,Violet,Training
672,Alena,Tortis,Thailand,Maroon,Training
684,Elston,Orsi,Albania,Fuscia,Training
741,Bea,Dron,Russia,Turquoise,Training
745,Cybil,Creffeild,Serbia,Purple,Training
754,Jermayne,Broek,Indonesia,Puce,Training
773,Zebadiah,Craythorne,Palau,Turquoise,Training
776,Linet,Collidge,Russia,Orange,Training
784,Sonny,De Angelis,China,Red,Training
798,Valentine,Hughson,Indonesia,Yellow,Training
813,Wes,Eathorne,Greece,Turquoise,Training
828,Zak,Redfern,Paraguay,Crimson,Training
833,Adam,Soutter,Indonesia,Violet,Training
836,Lucienne,Bediss,Nigeria,Puce,Training
840,Murray,Halbord,Ukraine,Khaki,Training
871,Matilda,Lattka,China,Turquoise,Training
901,Bradney,Baison,Sweden,Violet,Training
922,Gasparo,Pretor,Thailand,Yellow,Training
954,Ogdon,Butler-Bowdon,Indonesia,Indigo,Training
956,Gardner,Berry,Sweden,Teal,Training
967,Ogden,Jura,Colombia,Puce,Training
970,Cecelia,Dadds,Sweden,Teal,Training
976,Antonie,Heighway,Brazil,Khaki,Training
981,Darryl,Stanyland,Nigeria,Goldenrod,Training
992,Trixie,Masic,Togo,Violet,Training
994,Maurie,Durkin,China,Pink,Training
998,Archibald,Summerbell,Indonesia,Purple,Training
