id,first_name,last_name,location,fav_color,department
45,Francesca,Cratchley,Portugal,Indigo,Research and Development
73,Tiphanie,Flaws,Portugal,Mauv,Product Management
104,Iorgo,Celle,Portugal,Pink,Business Development
109,Lorelle,Scrimshaw,Portugal,Puce,Legal
146,Karolina,Arthur,Portugal,Teal,Engineering
159,Erskine,Lars,Portugal,Pink,Support
170,Ronny,Skipton,Portugal,Puce,Accounting
196,Deb,Filpi,Portugal,Blue,Engineering
257,Gale,Worrill,Portugal,Violet,Marketing
284,Ambrosi,Kinvan,Portugal,Blue,Marketing
289,Thaddeus,Parkisson,Portugal,Purple,Human Resources
290,Sandye,Harman,Portugal,Yellow,Engineering
309,Karole,Mabbett,Portugal,Green,Sales
321,Guillaume,Georgescu,Portugal,Teal,Product Management
438,Shelia,Driscoll,Portugal,Orange,Support
501,Bibby,Plewman,Portugal,Puce,Engineering
556,Wallie,Brockherst,Portugal,Turquoise,Business Development
594,Gard,Bouette,Portugal,Turquoise,Support
652,Anderson,Mico,Portugal,Crimson,Support
657,Jasper,Golborn,Portugal,Red,Engineering
698,Delmore,Emanson,Portugal,Crimson,Business Development
707,Steve,Delamar,Portugal,Indigo,Accounting
712,Niles,Croucher,Portugal,Fuscia,Accounting
804,Jesse,Bernardelli,Portugal,Maroon,Business Development
816,Armando,Morsey,Portugal,Yellow,Legal
879,Gallagher,Gonnelly,Portugal,Violet,Business Development
944,Even,Camosso,Portugal,Yellow,Product Management
962,Guss,Earthfield,Portugal,Fuscia,Support
