id,first_name,last_name,location,fav_color,department
1,Nessy,Friar,Peru,Puce,Sales
2,Aldridge,Donisi,China,Goldenrod,Accounting
3,Hercule,Mc Comb,Indonesia,Red,Training
4,Catharina,Sisson,China,Indigo,Services
5,Jillane,McCraine,Indonesia,Khaki,Engineering
6,Violetta,Giraudo,China,Fuscia,Human Resources
7,Deanne,Cazalet,Greece,Mauv,Support
8,Edyth,Wallage,China,Green,Research and Development
9,Alex,McAlarney,France,Aquamarine,Training
10,Darda,O'Lahy,Nepal,Blue,Accounting
11,Keven,Pieche,China,Crimson,Training
12,Lise,Camolli,Philippines,Crimson,Training
13,Maud,Suggitt,Philippines,Khaki,Accounting
14,Brewer,Benneyworth,Indonesia,Indigo,Services
15,Dorthea,Kleinplac,Nigeria,Pink,Engineering
16,Denis,Fellon,Indonesia,Orange,Legal
17,Rianon,Burroughes,Philippines,Red,Marketing
18,Evanne,Sallis,China,Purple,Engineering
19,Diarmid,O'Donovan,Bolivia,Fuscia,Accounting
20,Broddie,Guillotin,Mauritania,Indigo,Human Resources
21,Candice,Jollie,Sweden,Violet,Engineering
22,Silas,Jewell,China,Crimson,Support
23,Dolly,Allward,Russia,Red,Business Development
24,Kerr,Ambrozewicz,Peru,Fuscia,Accounting
25,Glyn,Ebbutt,China,Turquoise,Legal
26,Zia,Lumpkin,France,Violet,Services
27,Harcourt,Verdun,China,Fuscia,Sales
28,Annabella,Booler,Russia,Khaki,Support
29,Selia,Girodias,Indonesia,Teal,Training
30,Clarance,Skala,China,Crimson,Legal
31,Jeremias,Fulep,Poland,Puce,Services
32,Sancho,Humpherson,Sweden,Khaki,Training
33,Zabrina,Leeman,Thailand,Indigo,Training
34,Brander,Wagge,Ukraine,Khaki,Marketing
35,Morrie,Parade,United States,Teal,Services
36,Wit,Prozescky,Sweden,Teal,Sales
37,Crichton,Ervine,Czech Republic,Fuscia,Legal
38,Lucas,Scudamore,Poland,Teal,Human Resources
39,Ase,Van Dijk,France,Green,Support
40,Corissa,Bute,Poland,Purple,Training
41,Annelise,Meryett,China,Turquoise,Services
42,Julissa,Vize,Tanzania,Aquamarine,Human Resources
43,Miguelita,aManger,United States,Yellow,Marketing
44,Percy,Ellicombe,China,Red,Training
45,Francesca,Cratchley,Portugal,Indigo,Research and Development
46,Theresina,Skaid,Kosovo,Turquoise,Business Development
47,Rolph,Bridgwater,Indonesia,Blue,Business Development
48,Karry,Delnevo,China,Puce,Engineering
49,Holt,Fulleylove,Brazil,Orange,Marketing
50,Marris,Meier,Indonesia,Maroon,Business Development
51,Zack,Kaasman,Russia,Teal,Product Management
52,Clayson,Bavidge,China,Maroon,Accounting
53,Eulalie,Fairlie,China,Turquoise,Accounting
54,Reube,Markussen,Peru,Blue,Research and Development
